name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z,bb_diagonal,barycenter,major_eigenvector
AquaticAnimal/m53.obj,AquaticAnimal,18409,34877,34877,0,0.126447,0.339903,1.0,1.0637306488101206,[-0.  0. -0.],[1.00000000e+00 2.39135355e-09 1.36693672e-08]
AquaticAnimal/m54.obj,AquaticAnimal,18143,33836,33836,0,0.19056,0.366454,1.0,1.08194345865022,[-0.  0.  0.],[1.00000000e+00 1.85076420e-08 4.49448989e-08]
AquaticAnimal/m55.obj,AquaticAnimal,19505,37072,37072,0,0.16536,0.376119,1.0,1.081114902200964,[-0.  0.  0.],[ 1.00000000e+00 -4.48685037e-09 -4.77887218e-08]
AquaticAnimal/m56.obj,AquaticAnimal,5814,10893,10893,0,0.151939,0.361494,1.0,1.074133777402517,[ 0. -0. -0.],[1.00000000e+00 5.83426004e-08 2.30464127e-09]
AquaticAnimal/m57.obj,AquaticAnimal,18878,36278,36278,0,0.12441100000000001,0.380521,1.0,1.0771603076432033,[ 0. -0. -0.],[ 1.00000000e+00 -8.24688341e-09  1.26661705e-08]
AquaticAnimal/m58.obj,AquaticAnimal,477,950,950,0,0.538457,0.514079,1.0,1.2466808569517702,[ 0. -0. -0.],[ 1.00000000e+00  1.62842877e-07 -1.62454662e-06]
AquaticAnimal/m59.obj,AquaticAnimal,44,1680,1680,0,0.210526,0.210526,1.0,1.043380272648472,[ 0. -0. -0.],[ 1.00000000e+00 -9.08194894e-19 -1.27831341e-17]
AquaticAnimal/m60.obj,AquaticAnimal,1606,3208,3208,0,0.342769,0.40538799999999997,1.0,1.1321793223270773,[ 0. -0.  0.],[ 1.00000000e+00  1.46942921e-07 -6.72002409e-09]
AquaticAnimal/m61.obj,AquaticAnimal,216,337,337,0,0.17341800000000002,0.440689,1.0,1.1064721403835707,[ 0. -0. -0.],[1.00000000e+00 1.35034772e-07 4.31297766e-07]
AquaticAnimal/m62.obj,AquaticAnimal,241,478,478,0,0.109427,0.72204,1.0,1.2382713878342662,[ 0.  0. -0.],[ 1.00000000e+00  6.44908423e-08 -1.12554003e-08]
AquaticAnimal/m63.obj,AquaticAnimal,1112,1792,1792,0,0.755336,0.66589,1.0,1.419134230788617,[0. 0. 0.],[1.00000000e+00 2.24145869e-08 2.76881621e-08]
AquaticAnimal/m64.obj,AquaticAnimal,247,444,444,0,0.16154,0.54739,1.0,1.1514039185707161,[0. 0. 0.],[ 1.00000000e+00 -1.07209403e-07 -4.86962774e-08]
AquaticAnimal/m65.obj,AquaticAnimal,1004,1930,1930,0,0.413941,0.6789989999999999,1.0,1.2776489320161466,[0. 0. 0.],[ 1.00000000e+00 -1.10445618e-07  5.83806894e-08]
