name,class_name,num_vertices,num_faces,num_triangles,num_quads,bb_dim_x,bb_dim_y,bb_dim_z,bb_diagonal,barycenter,major_eigenvector,median_eigenvector,minor_eigenvector,mass_directions
AquaticAnimal/m53.obj,AquaticAnimal,18409,34877,34877,0,0.126447,0.339903,1.0,1.0637306488101206,[-0.  0. -0.],[1.00000000e+00 2.39135355e-09 1.36693672e-08],[ 2.39135348e-09 -1.00000000e+00  5.04086986e-09],[ 1.36693672e-08 -5.04086965e-09 -1.00000000e+00],[1 1 1]
AquaticAnimal/m54.obj,AquaticAnimal,18143,33836,33836,0,0.19056,0.366454,1.0,1.08194345865022,[-0.  0.  0.],[1.00000000e+00 1.85076420e-08 4.49448989e-08],[ 1.85076416e-08 -1.00000000e+00  1.07007517e-08],[ 4.49448991e-08 -1.07007502e-08 -1.00000000e+00],[1 1 1]
AquaticAnimal/m55.obj,AquaticAnimal,19505,37072,37072,0,0.16536,0.376119,1.0,1.081114902200964,[-0.  0.  0.],[ 1.00000000e+00 -4.48685037e-09 -4.77887218e-08],[-4.48685077e-09 -1.00000000e+00 -8.34920151e-09],[-4.77887218e-08  8.34920153e-09 -1.00000000e+00],[1 1 1]
AquaticAnimal/m56.obj,AquaticAnimal,5814,10893,10893,0,0.151939,0.361494,1.0,1.074133777402517,[ 0. -0. -0.],[1.00000000e+00 5.83426004e-08 2.30464127e-09],[ 5.83426003e-08 -1.00000000e+00  3.62038033e-08],[-2.30464339e-09  3.62038033e-08  1.00000000e+00],[1 1 1]
AquaticAnimal/m57.obj,AquaticAnimal,18878,36278,36278,0,0.12441100000000001,0.380521,1.0,1.0771603076432033,[ 0. -0. -0.],[ 1.00000000e+00 -8.24688341e-09  1.26661705e-08],[8.24688333e-09 1.00000000e+00 6.36779007e-09],[-1.26661706e-08 -6.36779021e-09  1.00000000e+00],[1 1 1]
AquaticAnimal/m58.obj,AquaticAnimal,477,950,950,0,0.538457,0.514079,1.0,1.2466808569517702,[ 0. -0. -0.],[ 1.00000000e+00  1.62842877e-07 -1.62454662e-06],[-1.62842868e-07  1.00000000e+00  5.59654716e-09],[ 1.62454662e-06 -5.59628266e-09  1.00000000e+00],[1 1 1]
AquaticAnimal/m59.obj,AquaticAnimal,44,1680,1680,0,0.210526,0.210526,1.0,1.043380272648472,[ 0. -0. -0.],[ 1.00000000e+00 -9.08194894e-19 -1.27831341e-17],[ 0.00000000e+00 -1.00000000e+00  7.54496554e-17],[ 0.00000000e+00 -6.36779141e-16 -1.00000000e+00],[1 1 1]
AquaticAnimal/m60.obj,AquaticAnimal,1606,3208,3208,0,0.342769,0.40538799999999997,1.0,1.1321793223270773,[ 0. -0.  0.],[ 1.00000000e+00  1.46942921e-07 -6.72002409e-09],[ 1.46942921e-07 -1.00000000e+00 -8.03407563e-09],[ 6.72002527e-09 -8.03407453e-09  1.00000000e+00],[1 1 1]
AquaticAnimal/m61.obj,AquaticAnimal,216,337,337,0,0.17341800000000002,0.440689,1.0,1.1064721403835707,[ 0. -0. -0.],[1.00000000e+00 1.35034772e-07 4.31297766e-07],[ 1.35034853e-07 -1.00000000e+00 -1.87072232e-07],[ 4.31297741e-07  1.87072290e-07 -1.00000000e+00],[1 1 1]
AquaticAnimal/m62.obj,AquaticAnimal,241,478,478,0,0.109427,0.72204,1.0,1.2382713878342662,[ 0.  0. -0.],[ 1.00000000e+00  6.44908423e-08 -1.12554003e-08],[-6.44908461e-08  1.00000000e+00 -3.34933014e-07],[1.12553787e-08 3.34933015e-07 1.00000000e+00],[1 1 1]
